query_id,split
test949,fit
test2606,fit
test3436,fit
test1855,fit
test599,fit
test1342,fit
test3255,fit
test1808,fit
test3386,fit
test2106,fit
test1235,fit
test3326,fit
test72,fit
test1971,fit
test1875,fit
test2785,fit
test3118,fit
test1281,fit
test1662,fit
test3040,fit
test1683,fit
test1945,fit
test1473,fit
test3165,fit
test2281,fit
test1892,fit
test2293,fit
test2869,fit
test2392,fit
test2439,fit
test1853,fit
test3397,fit
test1562,fit
test1448,fit
test3412,fit
test1147,fit
test2284,fit
test623,fit
test2315,fit
test2049,fit
test1552,fit
test468,fit
test820,fit
test3252,fit
test3298,fit
test708,fit
test2938,fit
test78,fit
test247,fit
test2309,fit
test2015,fit
test2084,fit
test2887,fit
test995,fit
test1916,fit
test2706,fit
test2894,fit
test568,fit
test484,fit
test2041,fit
test2973,fit
test2567,fit
test1830,fit
test1535,fit
test2391,fit
test3286,fit
test1221,fit
test1085,fit
test1534,fit
test437,fit
test191,fit
test2607,fit
test1889,fit
test33,fit
test1694,fit
test3152,fit
test606,fit
test3441,fit
test2919,fit
test1811,fit
test2535,fit
test3313,fit
test39,fit
test1857,fit
test2827,fit
test2000,fit
test3439,fit
test1028,fit
test918,fit
test2410,fit
test3425,fit
test230,fit
test832,fit
test2023,fit
test1961,fit
test922,fit
test2276,fit
test365,fit
test2144,fit
test1640,fit
test1111,fit
test294,fit
test3223,fit
test655,fit
test1087,fit
test1523,fit
test2344,fit
test1236,fit
test1036,fit
test3301,fit
test692,fit
test1387,fit
test515,fit
test1678,fit
test121,fit
test3319,fit
test747,fit
test105,fit
test2304,fit
test2545,fit
test1291,fit
test2838,fit
test2279,fit
test3166,fit
test166,fit
test563,fit
test1086,fit
test994,fit
test1320,fit
test1053,fit
test104,fit
test106,fit
test2111,fit
test796,fit
test980,fit
test2401,fit
test544,fit
test2367,fit
test3180,fit
test2504,fit
test1442,fit
test868,fit
test190,fit
test3307,fit
test2108,fit
test1567,fit
test3161,fit
test2032,fit
test2104,fit
test3181,fit
test1196,fit
test2670,fit
test2631,fit
test2705,fit
test446,fit
test2146,fit
test1033,fit
test1856,fit
test1555,fit
test108,fit
test1622,fit
test85,fit
test818,fit
test413,fit
test963,fit
test1337,fit
test2751,fit
test2092,fit
test1486,fit
test658,fit
test1913,fit
test1319,fit
test659,fit
test317,fit
test1386,fit
test1100,fit
test2085,fit
test3256,fit
test690,fit
test1605,fit
test3351,fit
test510,fit
test600,fit
test245,fit
test3416,fit
test177,fit
test2289,fit
test1060,fit
test3254,fit
test3404,fit
test2339,fit
test1986,fit
test2472,fit
test730,fit
test2316,fit
test1550,fit
test1709,fit
test2841,fit
test1784,fit
test1047,fit
test1810,fit
test3362,fit
test3340,fit
test1484,fit
test2162,fit
test1874,fit
test669,fit
test838,fit
test1958,fit
test1654,fit
test3379,fit
test2256,fit
test1176,fit
test3231,fit
test97,fit
test2674,fit
test843,fit
test2009,fit
test1460,fit
test1757,fit
test502,fit
test1013,fit
test1310,fit
test271,fit
test2026,fit
test1823,fit
test129,fit
test1290,fit
test3187,fit
test2718,fit
test2884,fit
test3088,fit
test2253,fit
test296,fit
test3008,fit
test2772,fit
test1590,fit
test146,fit
test2578,fit
test2036,fit
test211,fit
test2210,fit
test2875,fit
test2029,fit
test603,fit
test587,fit
test2877,fit
test3338,fit
test1348,fit
test3159,fit
test192,fit
test1914,fit
test668,fit
test1909,fit
test1418,fit
test2075,fit
test621,fit
test1517,fit
test2954,fit
test1373,fit
test3125,fit
test2933,fit
test2611,fit
test2519,fit
test2963,fit
test571,fit
test944,fit
test388,fit
test2731,fit
test1671,fit
test381,fit
test1416,fit
test1695,fit
test2457,fit
test1901,fit
test2999,fit
test451,fit
test773,fit
test1648,fit
test1923,fit
test2073,fit
test2161,fit
test1109,fit
test1936,fit
test2811,fit
test3324,fit
test539,fit
test2117,fit
test2768,fit
test1682,fit
test1434,fit
test604,fit
test2990,fit
test700,fit
test447,fit
test368,fit
test3271,fit
test2621,fit
test291,fit
test1878,fit
test2170,fit
test2286,fit
test514,fit
test2934,fit
test1584,fit
test1045,fit
test2137,fit
test1505,fit
test216,fit
test2729,fit
test1710,fit
test2252,fit
test999,fit
test419,fit
test1212,fit
test301,fit
test1882,fit
test1609,fit
test1850,fit
test341,fit
test2901,fit
test677,fit
test943,fit
test490,fit
test1943,fit
test1232,fit
test2148,fit
test2673,fit
test1920,fit
test2383,fit
test509,fit
test1975,fit
test556,fit
test3145,fit
test2598,fit
test1245,fit
test722,fit
test169,fit
test2412,fit
test1902,fit
test2118,fit
test99,fit
test2040,fit
test3025,fit
test2778,fit
test2174,fit
test220,fit
test2646,fit
test764,fit
test969,fit
test344,fit
test2126,fit
test1797,fit
test2732,fit
test218,fit
test1711,fit
test2605,fit
test1156,fit
test310,fit
test711,fit
test440,fit
test721,fit
test1813,fit
test767,fit
test1079,fit
test1679,fit
test3104,fit
test2202,fit
test2829,fit
test2059,fit
test617,fit
test89,fit
test2969,fit
test1050,fit
test3247,fit
test1672,fit
test829,fit
test2393,fit
test314,fit
test2858,fit
test2184,fit
test620,fit
test3186,fit
test3093,fit
test2307,fit
test555,fit
test2389,fit
test2525,fit
test1343,fit
test2479,fit
test2079,fit
test3210,fit
test1254,fit
test2936,fit
test904,fit
test2867,fit
test3076,fit
test2005,fit
test1777,fit
test1116,fit
test309,fit
test2274,fit
test2689,fit
test1522,fit
test38,fit
test2908,fit
test639,fit
test1888,fit
test590,fit
test2837,fit
test578,fit
test2716,fit
test848,fit
test1301,fit
test3317,fit
test2984,fit
test475,fit
test875,fit
test279,fit
test2807,fit
test542,fit
test110,fit
test2048,fit
test1962,fit
test239,fit
test3352,fit
test1193,fit
test2987,fit
test3364,fit
test2449,fit
test3194,fit
test840,fit
test1198,fit
test1273,fit
test3032,fit
test2658,fit
test3211,fit
test1756,fit
test2962,fit
test3449,fit
test2327,fit
test735,fit
test2939,fit
test427,fit
test1718,fit
test3289,fit
test1775,fit
test3300,fit
test2709,fit
test2185,fit
test2547,fit
test2233,fit
test1939,fit
test2086,fit
test2767,fit
test1084,fit
test1388,fit
test3215,fit
test224,fit
test714,fit
test113,fit
test116,fit
test2847,fit
test2163,fit
test3206,fit
test2238,fit
test1700,fit
test3262,fit
test327,fit
test2994,fit
test286,fit
test487,fit
test652,fit
test273,fit
test859,fit
test1361,fit
test90,fit
test450,fit
test602,fit
test2454,fit
test2691,fit
test806,fit
test13,fit
test2244,fit
test404,fit
test2025,fit
test559,fit
test3354,fit
test772,fit
test2526,fit
test2903,fit
test2506,fit
test2423,fit
test493,fit
test2354,fit
test373,fit
test3122,fit
test1820,fit
test485,fit
test320,fit
test2574,fit
test156,fit
test1323,fit
test1104,fit
test2615,fit
test2409,fit
test2828,fit
test2698,fit
test881,fit
test2808,fit
test23,fit
test1253,fit
test334,fit
test1275,fit
test1803,fit
test1252,fit
test1208,fit
test2012,fit
test2034,fit
test1664,fit
test3423,fit
test1267,fit
test1574,fit
test584,fit
test2033,fit
test1004,fit
test2077,fit
test1427,fit
test3085,fit
test715,fit
test3419,fit
test101,fit
test269,fit
test2613,fit
test1781,fit
test2446,fit
test3236,fit
test1807,fit
test2959,fit
test2103,fit
test1794,fit
test145,fit
test2913,fit
test2876,fit
test483,fit
test1713,fit
test1957,fit
test3000,fit
test3288,fit
test1917,fit
test640,fit
test393,fit
test81,fit
test637,fit
test1127,fit
test1951,fit
test3188,fit
test1314,fit
test411,fit
test720,fit
test647,fit
test1844,fit
test15,fit
test1868,fit
test2353,fit
test1223,fit
test1099,fit
test52,fit
test170,fit
test770,fit
test2408,fit
test2422,fit
test2634,fit
test3190,fit
test1799,fit
test2283,fit
test3123,fit
test874,fit
test1377,fit
test676,fit
test3258,fit
test2556,fit
test3322,fit
test1110,fit
test1510,fit
test2388,fit
test1138,fit
test3146,fit
test1251,fit
test2225,fit
test1158,fit
test1246,fit
test2112,fit
test205,fit
test608,fit
test2895,fit
test911,fit
test523,fit
test3167,fit
test2350,fit
test1220,fit
test3147,fit
test2294,fit
test1766,fit
test956,fit
test3020,fit
test386,fit
test171,fit
test1345,fit
test518,fit
test248,fit
test362,fit
test1942,fit
test1714,fit
test1554,fit
test229,fit
test3031,fit
test2321,fit
test2915,fit
test1012,fit
test924,fit
test68,fit
test371,fit
test161,fit
test1449,fit
test2116,fit
test725,fit
test1812,fit
test2482,fit
test3143,fit
test2242,fit
test71,fit
test3348,fit
test646,fit
test654,fit
test1043,fit
test3174,fit
test2182,fit
test1686,fit
test59,fit
test2110,fit
test3356,fit
test749,fit
test521,fit
test2544,fit
test83,fit
test84,fit
test2715,fit
test1631,fit
test28,fit
test2883,fit
test743,fit
test1139,fit
test2878,fit
test2856,fit
test1744,fit
test2427,fit
test2629,fit
test579,fit
test1738,fit
test3133,fit
test788,fit
test1353,fit
test1226,fit
test2588,fit
test2067,fit
test2382,fit
test962,fit
test2142,fit
test2114,fit
test1780,fit
test1054,fit
test2195,fit
test426,fit
test2992,fit
test1435,fit
test1514,fit
test3320,fit
test1195,fit
test79,fit
test872,fit
test803,fit
test758,fit
test926,fit
test3384,fit
test1280,fit
test2093,fit
test1243,fit
test2568,fit
test2214,fit
test2747,fit
test399,fit
test214,fit
test3395,fit
test698,fit
test3100,fit
test2749,fit
test1453,fit
test3077,fit
test1341,fit
test887,fit
test1167,fit
test1170,fit
test2694,fit
test1107,fit
test3218,fit
test3039,fit
test1527,fit
test2559,fit
test906,fit
test180,fit
test867,fit
test572,fit
test2262,fit
test1625,fit
test1740,fit
test2413,fit
test2328,fit
test2793,fit
test2407,fit
test575,fit
test1692,fit
test1904,fit
test2941,fit
test1979,fit
test1070,fit
test249,fit
test817,fit
test894,fit
test3004,fit
test2251,fit
test2860,fit
test400,fit
test1790,fit
test3268,fit
test2037,fit
test2643,fit
